Id	Description	Qty	Unit	Designators
1	Cable, 1 wires	0	m	12v1cbl
2	Connector, JST PH 2.0mm, male, 4 pins	1		X1
3	Connector, JST SM, female, 4 pins	1		JST-SM-4-female
4	Connector, JST SM, male, 4 pins	1		JST-SM-4-male
5	Connector, butt splice	4		
6	Connector, butt splices, 4 pins	1		Splice1
7	Connector, quick disconnect, 1 pins	1		12v1
8	Wire, BK	0	m	JST-SM-4-female-blunt, Splice-JST-SM-4-male, X1-Splice1
9	Wire, BU	0	m	JST-SM-4-female-blunt, Splice-JST-SM-4-male
10	Wire, RD	0	m	JST-SM-4-female-blunt, Splice-JST-SM-4-male, X1-Splice1
11	Wire, WH	0	m	JST-SM-4-female-blunt, Splice-JST-SM-4-male, X1-Splice1
12	Wire, YE	0	m	X1-Splice1
